window_id,attack_name,attack_family,iso_date,day_dir,start_time,finish_time,attacker_ips,victim_ips,source_url,confidence
ids2018_2018-02-22_1017_11_brute_force_web,Brute Force -Web,WebAttack,2018-02-22,Thursday-22-02-2018,10:17,11:24,"[""18.218.115.60""]","[""172.31.69.28"", ""18.218.83.150""]",https://www.unb.ca/cic/datasets/ids-2018.html,official_schedule
ids2018_2018-02-22_1350_12_brute_force_xss,Brute Force -XSS,WebAttack,2018-02-22,Thursday-22-02-2018,13:50,14:29,"[""18.218.115.60""]","[""172.31.69.28"", ""18.218.83.150""]",https://www.unb.ca/cic/datasets/ids-2018.html,official_schedule
ids2018_2018-02-22_1615_13_sql_injection,SQL Injection,WebAttack,2018-02-22,Thursday-22-02-2018,16:15,16:29,"[""18.218.115.60""]","[""172.31.69.28"", ""18.218.83.150""]",https://www.unb.ca/cic/datasets/ids-2018.html,official_schedule
ids2018_2018-02-23_1003_14_brute_force_web,Brute Force -Web,WebAttack,2018-02-23,Friday-23-02-2018,10:03,11:03,"[""18.218.115.60""]","[""172.31.69.28"", ""18.218.83.150""]",https://www.unb.ca/cic/datasets/ids-2018.html,official_schedule
ids2018_2018-02-23_1300_15_brute_force_xss,Brute Force -XSS,WebAttack,2018-02-23,Friday-23-02-2018,13:00,14:10,"[""18.218.115.60""]","[""172.31.69.28"", ""18.218.83.150""]",https://www.unb.ca/cic/datasets/ids-2018.html,official_schedule
ids2018_2018-02-23_1505_16_sql_injection,SQL Injection,WebAttack,2018-02-23,Friday-23-02-2018,15:05,15:18,"[""18.218.115.60""]","[""172.31.69.28"", ""18.218.83.150""]",https://www.unb.ca/cic/datasets/ids-2018.html,official_schedule
ids2018_2018-02-28_1050_17_infiltration,Infiltration,Infiltration,2018-02-28,Wednesday-28-02-2018,10:50,12:05,"[""13.58.225.34""]","[""172.31.69.24"", ""18.221.148.137""]",https://www.unb.ca/cic/datasets/ids-2018.html,official_schedule
ids2018_2018-02-28_1342_18_infiltration,Infiltration,Infiltration,2018-02-28,Wednesday-28-02-2018,13:42,14:40,"[""13.58.225.34""]","[""172.31.69.24"", ""18.221.148.137""]",https://www.unb.ca/cic/datasets/ids-2018.html,official_schedule
ids2018_2018-03-01_957_19_infiltration,Infiltration,Infiltration,2018-03-01,Thursday-01-03-2018,9:57,10:55,"[""13.58.225.34""]","[""172.31.69.13"", ""18.216.254.154""]",https://www.unb.ca/cic/datasets/ids-2018.html,official_schedule
ids2018_2018-03-01_1400_20_infiltration,Infiltration,Infiltration,2018-03-01,Thursday-01-03-2018,14:00,15:37,"[""13.58.225.34""]","[""172.31.69.13"", ""18.216.254.154""]",https://www.unb.ca/cic/datasets/ids-2018.html,official_schedule
ids2018_2018-03-02_1011_22_bot,Bot,Botnet,2018-03-02,Friday-02-03-2018,10:11,11:34,"[""18.219.211.138""]","[""13.59.9.106"", ""172.31.69.10"", ""172.31.69.12"", ""172.31.69.14"", ""172.31.69.17"", ""172.31.69.23"", ""172.31.69.26"", ""172.31.69.29"", ""172.31.69.30"", ""172.31.69.6"", ""172.31.69.8"", ""18.216.105.13"", ""18.216.164.12"", ""18.217.218.111"", ""18.219.163.126"", ""18.219.212.0"", ""18.222.10.237"", ""18.222.102.2"", ""18.222.62.221"", ""18.222.86.193""]",https://www.unb.ca/cic/datasets/ids-2018.html,official_schedule
ids2018_2018-03-02_1424_23_bot,Bot,Botnet,2018-03-02,Friday-02-03-2018,14:24,15:55,"[""18.219.211.138""]","[""13.59.9.106"", ""172.31.69.10"", ""172.31.69.12"", ""172.31.69.14"", ""172.31.69.17"", ""172.31.69.23"", ""172.31.69.26"", ""172.31.69.29"", ""172.31.69.30"", ""172.31.69.6"", ""172.31.69.8"", ""18.216.105.13"", ""18.216.164.12"", ""18.217.218.111"", ""18.219.163.126"", ""18.219.212.0"", ""18.222.10.237"", ""18.222.102.2"", ""18.222.62.221"", ""18.222.86.193""]",https://www.unb.ca/cic/datasets/ids-2018.html,official_schedule
